iter	Passed	Remaining
0	148	148270
1	148	74288
2	149	49622
3	149	37269
4	150	29881
5	150	24939
6	151	21420
7	151	18787
8	151	16728
9	152	15079
10	152	13730
11	153	12606
12	153	11656
13	153	10845
14	154	10138
15	154	9525
16	155	8982
17	155	8496
18	156	8064
19	156	7675
20	157	7323
21	157	6999
22	157	6704
23	158	6433
24	158	6185
25	159	5956
26	159	5744
27	159	5550
28	160	5369
29	160	5198
30	161	5037
31	161	4887
32	161	4746
33	162	4613
34	162	4488
35	163	4370
36	163	4259
37	164	4154
38	164	4054
39	164	3959
40	165	3868
41	165	3783
42	166	3702
43	166	3624
44	167	3550
45	167	3478
46	168	3409
47	168	3344
48	169	3281
49	169	3220
50	169	3162
51	170	3106
52	170	3050
53	171	2999
54	171	2948
55	172	2899
56	172	2852
57	172	2806
58	173	2763
59	173	2721
60	174	2681
61	174	2642
62	175	2604
63	175	2566
64	175	2530
65	176	2495
66	176	2461
67	177	2429
68	177	2398
69	178	2366
70	178	2336
71	178	2307
72	179	2277
73	179	2249
74	180	2223
75	180	2197
76	181	2171
77	181	2147
78	182	2122
79	182	2099
80	183	2077
81	183	2055
82	184	2032
83	184	2012
84	185	1992
85	185	1970
86	185	1951
87	186	1932
88	187	1914
89	187	1896
90	188	1878
91	188	1860
92	188	1841
93	189	1824
94	189	1806
95	190	1789
96	190	1773
97	191	1758
98	191	1743
99	192	1728
100	192	1713
101	193	1700
102	193	1685
103	194	1672
104	194	1658
105	195	1645
106	195	1634
107	196	1622
108	196	1610
109	197	1597
110	198	1585
111	198	1573
112	199	1562
113	199	1549
114	199	1538
115	200	1526
116	200	1515
117	201	1505
118	201	1495
119	202	1485
120	203	1476
121	203	1467
122	204	1457
123	204	1447
124	205	1436
125	205	1426
126	206	1417
127	206	1407
128	207	1397
129	207	1388
130	207	1378
131	208	1370
132	208	1360
133	209	1352
134	209	1343
135	210	1334
136	210	1326
137	211	1318
138	211	1309
139	211	1301
140	212	1293
141	212	1285
142	213	1277
143	213	1270
144	214	1262
145	214	1255
146	215	1247
147	215	1240
148	215	1233
149	216	1226
150	216	1219
151	217	1213
152	217	1206
153	218	1199
154	218	1192
155	219	1186
156	219	1179
157	220	1173
158	220	1168
159	221	1162
160	221	1156
161	222	1151
162	223	1145
163	223	1139
164	224	1133
165	224	1128
166	225	1122
167	225	1116
168	225	1111
169	226	1105
170	226	1100
171	227	1094
172	227	1089
173	228	1084
174	229	1079
175	229	1074
176	230	1069
177	230	1065
178	231	1060
179	231	1055
180	232	1050
181	232	1046
182	233	1041
183	233	1036
184	234	1031
185	234	1027
186	235	1023
187	235	1018
188	236	1015
189	237	1010
190	237	1006
191	238	1001
192	238	998
193	239	994
194	239	990
195	240	986
196	241	983
197	241	980
198	242	976
199	243	972
200	243	968
201	244	964
202	244	960
203	245	956
204	245	951
205	245	948
206	246	944
207	246	940
208	247	936
209	247	932
210	248	928
211	248	924
212	249	921
213	249	917
214	250	913
215	250	910
216	251	907
217	251	903
218	252	900
219	252	896
220	253	893
221	254	890
222	254	887
223	255	884
224	255	880
225	256	877
226	256	874
227	257	871
228	257	867
229	258	864
230	258	860
231	259	857
232	259	854
233	260	851
234	260	848
235	261	845
236	261	842
237	262	839
238	262	836
239	263	833
240	263	830
241	264	827
242	264	824
243	265	821
244	265	818
245	266	816
246	266	813
247	267	810
248	267	807
249	268	805
250	268	802
251	269	799
252	270	797
253	270	794
254	271	792
255	271	789
256	272	787
257	272	784
258	273	781
259	273	778
260	274	776
261	274	773
262	275	770
263	275	768
264	276	765
265	276	763
266	277	760
267	277	758
268	278	756
269	278	753
270	279	751
271	279	748
272	280	746
273	280	743
274	281	741
275	281	738
276	282	736
277	282	734
278	283	731
279	283	729
280	284	727
281	284	725
282	285	722
283	285	720
284	286	718
285	286	715
286	287	713
287	287	711
288	288	709
289	288	706
290	289	704
291	289	701
292	290	699
293	290	697
294	291	695
295	291	693
296	292	691
297	292	689
298	293	687
299	293	684
300	293	682
301	294	680
302	294	678
303	295	676
304	295	674
305	296	672
306	296	669
307	297	667
308	297	665
309	298	663
310	298	661
311	298	659
312	299	657
313	300	655
314	300	653
315	301	651
316	301	649
317	302	647
318	302	645
319	303	643
320	303	641
321	303	640
322	304	638
323	304	636
324	305	634
325	305	632
326	306	630
327	307	629
328	307	627
329	307	625
330	308	623
331	309	621
332	309	620
333	310	618
334	310	616
335	311	614
336	311	613
337	312	611
338	312	609
339	313	607
340	313	605
341	313	604
342	314	602
343	314	600
344	315	598
345	315	597
346	316	596
347	317	594
348	318	593
349	318	591
350	318	589
351	319	588
352	319	586
353	320	584
354	320	583
355	321	581
356	322	580
357	322	578
358	322	576
359	323	574
360	323	573
361	324	571
362	324	570
363	325	568
364	325	566
365	326	565
366	326	563
367	327	562
368	327	560
369	328	559
370	328	557
371	329	555
372	329	554
373	330	552
374	330	551
375	331	549
376	331	547
377	332	546
378	332	544
379	332	543
380	333	541
381	333	540
382	334	538
383	334	537
384	335	535
385	335	534
386	336	532
387	336	531
388	337	529
389	337	527
390	338	526
391	338	525
392	339	523
393	339	522
394	340	521
395	340	519
396	341	518
397	341	516
398	341	514
399	342	513
400	342	511
401	343	510
402	343	508
403	343	507
404	344	506
405	344	504
406	345	503
407	345	501
408	346	500
409	346	498
410	346	497
411	347	495
412	347	494
413	348	492
414	348	491
415	349	490
416	349	488
417	350	487
418	350	485
419	350	484
420	351	483
421	351	481
422	352	480
423	352	478
424	352	477
425	353	476
426	353	474
427	354	473
428	354	472
429	355	470
430	355	469
431	356	468
432	356	466
433	356	465
434	357	464
435	357	462
436	358	461
437	358	460
438	358	458
439	359	457
440	359	456
441	360	454
442	360	453
443	361	452
444	361	450
445	361	449
446	362	448
447	362	447
448	363	445
449	363	444
450	364	443
451	364	441
452	364	440
453	365	439
454	365	438
455	366	436
456	366	435
457	367	434
458	367	433
459	368	432
460	368	430
461	369	430
462	369	428
463	370	427
464	370	426
465	371	425
466	371	424
467	372	422
468	372	421
469	372	420
470	373	419
471	373	418
472	374	416
473	374	415
474	374	414
475	375	413
476	375	411
477	376	410
478	376	409
479	376	408
480	377	407
481	377	406
482	378	404
483	378	403
484	379	402
485	379	401
486	380	400
487	380	399
488	380	398
489	381	396
490	381	395
491	382	394
492	382	393
493	383	392
494	383	391
495	384	390
496	384	389
497	385	388
498	385	387
499	386	386
500	386	385
501	387	384
502	387	382
503	388	381
504	388	380
505	388	379
506	389	378
507	389	377
508	390	376
509	390	375
510	391	374
511	391	373
512	392	372
513	392	371
514	392	370
515	393	369
516	393	367
517	394	366
518	394	365
519	395	364
520	395	363
521	395	362
522	396	361
523	396	360
524	397	359
525	397	358
526	398	357
527	398	356
528	399	355
529	399	354
530	400	353
531	400	352
532	401	351
533	401	350
534	401	349
535	402	348
536	402	347
537	403	346
538	403	345
539	404	344
540	404	343
541	404	342
542	405	341
543	405	340
544	406	339
545	406	338
546	407	337
547	407	336
548	408	335
549	408	334
550	409	333
551	409	332
552	410	331
553	410	330
554	411	329
555	411	328
556	411	327
557	412	326
558	412	325
559	413	324
560	413	323
561	414	322
562	414	321
563	414	320
564	415	319
565	415	318
566	416	317
567	416	316
568	417	316
569	417	315
570	418	314
571	418	313
572	419	312
573	419	311
574	419	310
575	420	309
576	420	308
577	421	307
578	421	306
579	422	305
580	422	304
581	422	303
582	423	302
583	423	301
584	424	300
585	424	299
586	424	298
587	425	298
588	425	297
589	426	296
590	426	295
591	427	294
592	427	293
593	427	292
594	428	291
595	428	290
596	429	289
597	429	288
598	430	287
599	430	286
600	430	286
601	431	285
602	431	284
603	432	283
604	432	282
605	432	281
606	433	280
607	433	279
608	434	278
609	434	277
610	435	277
611	435	276
612	435	275
613	436	274
614	436	273
615	437	272
616	437	271
617	438	270
618	438	269
619	439	269
620	439	268
621	440	267
622	440	266
623	441	265
624	441	265
625	442	264
626	442	263
627	442	262
628	443	261
629	443	260
